"Residue","Morph_pvalue","Timepoint_pvalue","Sex_pvalue","MorphXTimepoint_pvalue","MorphXSex_pvalue","TimepointXSex_pvalue","start","NCBI","Morph_pvalue_corrected","Timepoint_pvalue_corrected","Sex_pvalue_corrected","MorphXTimepoint_pvalue_corrected"
"chr036851.1_1764974",0.0164029098195787,0.023444713400889,0.41849697589414,1.90505837001694e-06,0.0184668938774029,0.0326477665286135,"1764974","NC_036851.1",1,1,1,0.0196983035459751
"chr036851.1_33699343",0.000166960816217402,0.0699376156815639,0.252010079740024,9.49349627820637e-10,0.10830184943158,0.0545693798485985,"33699343","NC_036851.1",1,1,1,9.81627515166538e-06
"chr036854.1_23549250",0.451987052519043,0.317986675543869,0.407048602487784,3.02728936425959e-06,0.713437127378792,0.228191149054044,"23549250","NC_036854.1",1,1,1,0.0313021720264441
"chr036857.1_23107300",0.373687448090141,0.0369294442135275,0.340226594751942,3.51698719949138e-06,0.248532553430739,0.662829140843916,"23107300","NC_036857.1",1,1,1,0.0363656476427408
"chr036857.1_39239528",0.000669036355852027,2.31131053029063e-12,0.924793460975445,3.93708379168753e-16,0.244613083633755,0.542431715215712,"39239528","NC_036857.1",1,2.38989508832051e-08,1,4.07094464060491e-12
"chr036857.1_39239534",0.000726705589804477,1.48414445925736e-10,0.445151593841672,8.22921638522065e-12,0.456449412717082,0.648132436933386,"39239534","NC_036857.1",1,1.53460537087211e-06,1,8.50900974231816e-08
"chr036857.1_39239539",0.0321850064246759,5.12251752339567e-09,0.230967187655659,6.42265304295059e-08,0.219205166751662,0.0953070968827397,"39239539","NC_036857.1",1,5.29668311919112e-05,1,0.000664102324641091
"chr036858.1_6511108",0.320738702920979,0.162239965015501,0.0122434297505461,8.69440446569304e-08,0.055491554629499,0.953690171054472,"6511108","NC_036858.1",1,1,1,0.00089900142175266
"chr036858.1_22791205",0.0587284429221518,0.145753907415232,0.498922643425464,2.08957950478688e-09,1.40815225477189e-05,0.00162345680369843,"22791205","NC_036858.1",1,1,1,2.16062520794963e-05
"chr036858.1_39718111",0.00269481542957917,7.20163544891338e-09,0.331499192380471,1.94226636813903e-06,0.000113828244714234,0.509198059005287,"39718111","NC_036858.1",1,7.44649105417643e-05,1,0.0200830342465576
"chr036858.1_39718174",0.346768346716037,7.21084352677807e-12,0.268149483959253,5.79664987691059e-08,0.866513210292122,0.274343981320671,"39718174","NC_036858.1",1,7.45601220668852e-08,1,0.000599373597272555
"chr036859.1_7089990",0.0137109167036725,0.143814035321045,0.620293769655524,2.77950517513655e-14,0.0146126439351832,0.089473617815106,"7089990","NC_036859.1",1,1,1,2.87400835109119e-10
"chr036863.1_17053993",0.558717960324754,8.59940719189884e-07,0.312491899690154,9.12774533037252e-07,0.0243489336858774,0.311727448726503,"17053993","NC_036863.1",1,0.0088917870364234,1,0.00943808867160518
"chr036876.1_8226761",1.2127541102487e-05,1.06911406314095e-10,0.0277046380407822,2.62769922360357e-07,0.154900199195911,9.71555462300167e-05,"8226761","NC_036876.1",0.125398774999716,1.10546394128774e-06,1,0.00271704099720609
"chr036876.1_19536792",0.753892142567787,3.62692448776023e-11,0.517921188202028,1.89320418449289e-06,0.473380854442864,0.834644359470669,"19536792","NC_036876.1",1,3.75023992034407e-07,1,0.0195757312676565
